Userid,Marital status,Application mode,Application order,Course,Morning shift participation,Previous qualification,Previous qualification score,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Entry score,Displaced,Special needs,Debtor,Regularized Fees,Gender_Male,External Funding,Age at enrollment,International,N units credited 1st period,N units taken 1st period,N scored units 1st period,N units approved 1st period,Average grade 1st period,N unscored units 1st period,N units credited 2nd period,N units taken 2nd period,N scored units 2nd period,N units approved 2nd period,Average grade 2nd period,N unscored units 2nd period,Success,Social Popularity,Registered,Observations
4104,single,1.0,2.0,Management,1.0,12th grade,125.0,Portuguese,12th grade,9th grade,Administrative Staff,Unskilled Worker,124.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,5.0,5.0,5.0,11.2,0.0,0.0,5.0,11.0,4.0,11.75,0.0,Holding on,65,Yes,
3138,single,0.0,1.0,Veterinary Nursing,1.0,Bachelor degree,150.0,Portuguese,Bachelor degree,Bachelor degree,Administrative Staff,Engineer,173.3,1.0,,0.0,1.0,0.0,0.0,25.0,0.0,1.0,6.0,7.0,6.0,16.857142857142858,0.0,1.0,6.0,6.0,6.0,16.5,0.0,Succeeded,22,Yes,
2046,single,1.0,2.0,Nursing,1.0,12th grade,133.0,Portuguese,9th grade,12th grade,Unskilled Worker,Politician/CEO,122.2,0.0,0.0,0.0,1.0,,0.0,20.0,0.0,0.0,,9.0,6.0,12.783333333333331,0.0,0.0,8.0,9.0,7.0,12.842857142857143,0.0,Succeeded,37,Yes,
202,single,1.0,4.0,Social Service,1.0,12th grade,127.0,Portuguese,9th grade,9th grade,Administrative Staff,Student,127.4,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,8.0,6.0,11.166666666666666,0.0,0.0,6.0,6.0,6.0,11.333333333333334,0.0,Succeeded,80,Yes,
1258,single,,3.0,Oral Hygiene,1.0,12th grade,132.0,Portuguese,6th grade,4th grade,Engineer,Engineer,119.0,,,0.0,1.0,0.0,0.0,19.0,0.0,0.0,7.0,9.0,7.0,11.677777777777775,0.0,0.0,8.0,8.0,8.0,13.8,0.0,Succeeded,7,Yes,
1827,single,1.0,1.0,Social Service,1.0,12th grade,141.0,Portuguese,6th grade,12th grade,Private Security,Engineer,132.6,0.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,7.0,6.0,13.285714285714286,0.0,0.0,6.0,6.0,6.0,14.333333333333334,0.0,Succeeded,15,Yes,
3152,single,1.0,1.0,Animation and Multimedia Design,1.0,12th grade,159.0,Portuguese,Bachelor degree,12th grade,Administrative Staff,Administrative Staff,162.2,1.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gave up,48,Yes,
1929,single,1.0,1.0,Communication Design,1.0,12th grade,123.0,Portuguese,6th grade,6th grade,Unskilled Worker,Private Security,124.8,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,6.0,7.0,5.0,11.8,0.0,0.0,6.0,7.0,5.0,13.0,0.0,Holding on,55,Yes,
126,single,2.0,6.0,Oral Hygiene,1.0,12th grade,122.0,Portuguese,12th grade,12th grade,Administrative Staff,Private Security,117.1,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,7.0,12.0,5.0,12.1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,Gave up,63,Yes,
2759,single,0.0,1.0,Agronomy,1.0,12th grade - Technological specialization course,120.0,Portuguese,6th grade,9th grade,Superior-level Professional,Private Security,120.0,0.0,0.0,0.0,1.0,1.0,0.0,23.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,Holding on,45,Yes,
2733,single,1.0,1.0,Nursing,1.0,12th grade,131.0,Portuguese,9th grade,9th grade,Administrative Staff,Administrative Staff,122.0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,8.0,8.0,7.0,14.014285714285714,0.0,0.0,8.0,8.0,7.0,14.014285714285714,0.0,Holding on,73,Yes,
2285,single,1.0,1.0,Communication Design,1.0,12th grade,140.0,Portuguese,9th grade,6th grade,Administrative Staff,Administrative Staff,138.3,,0.0,0.0,1.0,1.0,0.0,20.0,0.0,1.0,6.0,8.0,6.0,13.428571428571429,1.0,0.0,6.0,12.0,4.0,11.5,0.0,Holding on,91,Yes,
3932,single,1.0,1.0,Equinculture,1.0,12th grade,132.0,Portuguese,Bachelor degree,12th grade,Administrative Staff,Unskilled Worker,121.9,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,8.0,6.0,14.5,0.0,0.0,6.0,9.0,6.0,12.857142857142858,0.0,Succeeded,79,Yes,
600,single,2.0,1.0,Agronomy,1.0,12th grade,133.0,Portuguese,6th grade,4th grade,Unskilled Worker,Unskilled Worker,125.3,1.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,12.0,18.0,22.0,18.0,11.88888888888889,1.0,11.0,13.0,13.0,13.0,11.461538461538462,0.0,Succeeded,31,Yes,
4330,single,2.0,1.0,Social Service,1.0,12th grade,120.0,Portuguese,4th grade,12th grade,Unskilled Worker,Private Security,113.4,1.0,0.0,0.0,1.0,0.0,1.0,20.0,0.0,0.0,6.0,10.0,5.0,11.857142857142858,0.0,0.0,6.0,8.0,6.0,11.666666666666666,0.0,Succeeded,38,Yes,
447,single,1.0,1.0,Nursing,1.0,12th grade,128.0,Portuguese,Bachelor degree,12th grade,Scientist,Politician/CEO,127.8,0.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,7.0,8.0,7.0,14.4125,0.0,,8.0,8.0,8.0,16.05,0.0,Succeeded,24,Yes,
1140,single,1.0,1.0,Veterinary Nursing,1.0,12th grade,149.0,Portuguese,9th grade,9th grade,Administrative Staff,Engineer,147.6,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,14.0,6.0,13.923076923076923,0.0,0.0,6.0,9.0,,14.25,0.0,Succeeded,23,Yes,
2537,single,0.0,1.0,Equinculture,1.0,12th grade,100.0,Brazilian,Bachelor degree,Master degree,Superior-level Professional,Scientist,100.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,1.0,0.0,5.0,10.0,5.0,14.857142857142858,2.0,0.0,5.0,7.0,5.0,15.142857142857142,0.0,Holding on,17,Yes,
358,single,0.0,1.0,Management (evening attendance),0.0,12th grade,133.1,Portuguese,4th grade,4th grade,Other,Assembly Worker,128.2,0.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,5.0,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Gave up,37,Yes,
335,single,1.0,1.0,Social Service,1.0,12th grade,133.0,Portuguese,,4th grade,Administrative Staff,Unskilled Worker,134.4,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,6.0,6.0,12.166666666666666,0.0,0.0,6.0,9.0,6.0,13.666666666666666,0.0,Succeeded,37,Yes,
3506,single,2.0,3.0,Management,1.0,12th grade,127.0,Portuguese,4th grade,4th grade,Private Security,Engineer,116.2,0.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,5.0,10.0,0.0,0.0,1.0,0.0,5.0,13.0,0.0,0.0,0.0,Gave up,39,Yes,
3874,single,1.0,2.0,Communication Design,1.0,12th grade,128.0,Portuguese,9th grade,9th grade,Superior-level Professional,Superior-level Professional,123.5,1.0,,0.0,0.0,1.0,0.0,19.0,0.0,0.0,6.0,9.0,4.0,12.5,0.0,0.0,6.0,6.0,0.0,0.0,0.0,Gave up,72,Yes,
389,single,2.0,1.0,Basic Education,1.0,12th grade,134.0,Portuguese,12th grade,9th grade,Administrative Staff,Private Security,122.5,1.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,6.0,10.0,5.0,13.166666666666666,0.0,0.0,6.0,8.0,5.0,12.4,0.0,Holding on,92,Yes,
2240,single,0.0,1.0,Veterinary Nursing,1.0,11th grade,133.1,Portuguese,6th grade,9th grade,Unskilled Worker,Assembly Worker,138.3,,0.0,1.0,0.0,1.0,0.0,25.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,Holding on,46,Yes,
2101,single,2.0,1.0,Journalism and Communication,1.0,12th grade,133.1,Portuguese,6th grade,6th grade,Unskilled Worker,Private Security,117.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,8.0,5.0,11.8,0.0,0.0,6.0,8.0,5.0,11.833333333333334,0.0,Holding on,31,Yes,
3850,single,1.0,3.0,Journalism and Communication,1.0,12th grade,121.0,Portuguese,9th grade,6th grade,Unskilled Worker,Engineer,113.0,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,6.0,6.0,6.0,13.833333333333334,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,Succeeded,28,Yes,
3336,single,2.0,4.0,Journalism and Communication,1.0,12th grade,129.0,Portuguese,Bachelor degree,12th grade,Scientist,Engineer,132.5,1.0,0.0,0.0,1.0,1.0,0.0,21.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,6.0,11.0,1.0,10.0,0.0,Holding on,12,Yes,
2942,married,0.0,2.0,Oral Hygiene,1.0,12th grade,133.1,Russian,12th grade,Bachelor degree,Unskilled Worker,Scientist,152.8,1.0,0.0,0.0,1.0,0.0,0.0,28.0,1.0,0.0,7.0,9.0,7.0,12.428571428571429,0.0,0.0,8.0,8.0,8.0,12.3,0.0,Holding on,30,Yes,
3771,single,0.0,1.0,Equinculture,1.0,12th grade - Technological specialization course,140.0,Portuguese,12th grade,9th grade,Administrative Staff,Assembly Worker,140.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,Gave up,87,Yes,
1823,single,2.0,1.0,Management,1.0,12th grade,162.0,Portuguese,12th grade,6th grade,Administrative Staff,Private Security,138.6,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,5.0,,1.0,11.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,Holding on,96,Yes,
4070,single,2.0,2.0,Social Service,1.0,12th grade,139.0,Portuguese,Bachelor degree,Bachelor degree,Superior-level Professional,Superior-level Professional,132.7,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,7.0,6.0,11.166666666666666,0.0,0.0,6.0,,6.0,11.666666666666666,0.0,Succeeded,1,Yes,
1692,single,3.0,3.0,Communication Design,1.0,12th grade,142.0,Portuguese,12th grade,4th grade,Administrative Staff,Engineer,130.8,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,0.0,Gave up,41,Yes,
4168,single,2.0,2.0,Communication Design,1.0,12th grade,136.0,Portuguese,9th grade,6th grade,Administrative Staff,Engineer,140.9,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,,6.0,6.0,6.0,14.333333333333334,0.0,0.0,6.0,6.0,6.0,13.5,0.0,Succeeded,17,Yes,
1464,single,0.0,1.0,Informatics Engineering,1.0,12th grade,140.0,Portuguese,12th grade,9th grade,Administrative Staff,Administrative Staff,150.0,0.0,0.0,0.0,1.0,1.0,0.0,23.0,0.0,0.0,5.0,7.0,2.0,13.0,0.0,0.0,5.0,11.0,1.0,10.0,0.0,Gave up,2,Yes,
417,single,1.0,1.0,Veterinary Nursing,1.0,12th grade,126.0,Portuguese,12th grade,12th grade,Unskilled Worker,Unskilled Worker,127.4,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,13.0,6.0,15.23076923076923,0.0,0.0,6.0,10.0,6.0,12.375,0.0,Succeeded,39,Yes,
1504,married,0.0,1.0,Nursing,1.0,12th grade,130.0,Portuguese,4th grade,4th grade,Cleaning worker,,163.7,0.0,0.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0,7.0,11.0,5.0,13.34,0.0,0.0,7.0,9.0,5.0,10.84,0.0,Holding on,72,Yes,
2149,single,0.0,1.0,Veterinary Nursing,1.0,12th grade,140.0,Portuguese,9th grade,9th grade,Administrative Staff,Private Security,140.0,1.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,5.0,6.0,5.0,14.2,0.0,0.0,,5.0,5.0,14.8,0.0,Succeeded,85,Yes,
4237,single,0.0,1.0,Journalism and Communication,1.0,12th grade,132.0,Portuguese,6th grade,9th grade,Unskilled Worker,Unskilled Worker,125.0,1.0,0.0,0.0,1.0,1.0,1.0,20.0,0.0,0.0,6.0,6.0,6.0,12.333333333333334,0.0,0.0,6.0,7.0,6.0,14.0,0.0,Succeeded,78,Yes,
2075,single,1.0,1.0,Social Service,1.0,12th grade,135.0,Portuguese,9th grade,6th grade,Superior-level Professional,Unskilled Worker,136.1,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,6.0,6.0,14.0,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,Succeeded,88,Yes,
3918,single,1.0,1.0,Basic Education,1.0,12th grade,135.0,Portuguese,9th grade,11th grade,Unskilled Worker,Engineer,137.1,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,,13.333333333333334,0.0,0.0,6.0,7.0,6.0,12.333333333333334,0.0,Succeeded,61,Yes,
1491,married,0.0,1.0,Agronomy,1.0,12th grade,120.0,Portuguese,4th grade,4th grade,Unskilled Worker,Unskilled Worker,155.8,0.0,0.0,0.0,1.0,1.0,0.0,29.0,,0.0,6.0,9.0,6.0,16.11111111111111,0.0,0.0,6.0,7.0,6.0,13.5,0.0,Succeeded,29,Yes,
2382,single,1.0,3.0,Communication Design,1.0,12th grade,127.0,Portuguese,9th grade,6th grade,Private Security,Engineer,141.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,6.0,6.0,6.0,15.166666666666666,0.0,0.0,6.0,6.0,6.0,12.333333333333334,0.0,Succeeded,48,Yes,
1590,single,2.0,2.0,Social Service (evening attendance),0.0,12th grade,134.0,Portuguese,12th grade,9th grade,Administrative Staff,,126.0,1.0,,0.0,1.0,1.0,0.0,22.0,0.0,,6.0,7.0,6.0,12.666666666666666,0.0,0.0,6.0,6.0,6.0,12.166666666666666,0.0,Succeeded,62,Yes,
869,single,3.0,1.0,Tourism,1.0,12th grade,137.0,Portuguese,9th grade,9th grade,Administrative Staff,Private Security,126.9,0.0,0.0,0.0,1.0,1.0,0.0,20.0,,0.0,6.0,7.0,6.0,13.857142857142858,0.0,0.0,6.0,7.0,5.0,12.8,0.0,Succeeded,27,Yes,
20,single,1.0,1.0,Basic Education,1.0,12th grade,140.0,Portuguese,9th grade,9th grade,Engineer,Engineer,124.6,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,7.0,6.0,11.666666666666666,0.0,0.0,,8.0,6.0,13.5,0.0,Holding on,89,Yes,
2247,single,2.0,1.0,Nursing,1.0,12th grade,128.0,Portuguese,12th grade,12th grade,Administrative Staff,Private Security,124.7,0.0,0.0,0.0,1.0,1.0,1.0,19.0,0.0,0.0,7.0,11.0,6.0,12.528571428571428,0.0,0.0,7.0,10.0,6.0,12.416666666666666,0.0,Holding on,59,Yes,
4234,single,1.0,5.0,Nursing,,12th grade,139.0,Portuguese,6th grade,6th grade,Unskilled Worker,Private Security,130.5,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,8.0,8.0,7.0,14.992857142857142,0.0,0.0,8.0,8.0,7.0,14.992857142857142,0.0,Succeeded,87,Yes,
3087,single,0.0,1.0,Management (evening attendance),0.0,12th grade,130.0,Portuguese,4th grade,4th grade,Unskilled Worker,Unskilled Worker,119.5,1.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,9.0,15.0,17.0,15.0,11.2,0.0,9.0,14.0,15.0,14.0,12.428571428571429,0.0,Succeeded,92,Yes,
3446,single,1.0,5.0,Nursing,1.0,12th grade,130.0,Portuguese,9th grade,12th grade,Unskilled Worker,Private Security,122.1,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,7.0,8.0,7.0,11.678571428571429,0.0,0.0,8.0,10.0,7.0,13.0375,0.0,Succeeded,62,Yes,
2371,single,0.0,1.0,Agronomy,1.0,12th grade,140.0,Portuguese,12th grade,12th grade,Administrative Staff,Private Security,140.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,6.0,11.0,6.0,11.285714285714286,0.0,0.0,6.0,12.0,5.0,11.77777777777778,0.0,Holding on,18,Yes,
3006,single,1.0,4.0,Nursing,1.0,12th grade,122.0,Portuguese,9th grade,6th grade,Engineer,Engineer,117.1,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,7.0,7.0,7.0,14.572857142857142,0.0,0.0,8.0,9.0,8.0,14.955555555555556,0.0,Succeeded,56,Yes,
3625,single,1.0,2.0,Management,1.0,12th grade,118.0,Portuguese,Bachelor degree,9th grade,Scientist,Administrative Staff,113.8,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,5.0,9.0,3.0,11.666666666666666,0.0,0.0,5.0,9.0,4.0,11.75,0.0,Succeeded,30,Yes,
3307,married,0.0,1.0,Tourism,1.0,Bachelor degree,120.0,Portuguese,6th grade,4th grade,Unskilled Worker,Superior-level Professional,120.0,1.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,9.0,12.0,22.0,10.0,13.3,0.0,9.0,11.0,11.0,11.0,13.727272727272728,0.0,Succeeded,56,Yes,
846,single,1.0,1.0,Animation and Multimedia Design,1.0,12th grade,115.0,Portuguese,4th grade,4th grade,Unskilled Worker,Assembly Worker,129.0,1.0,0.0,1.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gave up,16,Yes,
2236,single,1.0,1.0,Animation and Multimedia Design,1.0,12th grade,136.0,Portuguese,9th grade,9th grade,Administrative Staff,Assembly Worker,150.4,1.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Succeeded,68,Yes,
2468,single,0.0,1.0,Agronomy,1.0,12th grade - Technological specialization course,140.0,Portuguese,4th grade,4th grade,Unskilled Worker,Politician/CEO,140.0,0.0,0.0,0.0,1.0,1.0,1.0,20.0,0.0,0.0,6.0,11.0,5.0,13.833333333333334,0.0,0.0,6.0,13.0,6.0,12.3,0.0,Holding on,1,Yes,
3045,single,1.0,5.0,Tourism,1.0,12th grade,122.0,Portuguese,12th grade,4th grade,Unskilled Worker,Engineer,119.6,1.0,0.0,0.0,1.0,,1.0,19.0,0.0,0.0,6.0,6.0,6.0,12.333333333333334,0.0,0.0,6.0,6.0,6.0,12.833333333333334,0.0,Succeeded,76,Yes,
2292,single,1.0,1.0,Social Service,1.0,12th grade,127.0,Portuguese,4th grade,4th grade,Private Security,Armed Forces,125.3,0.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,6.0,9.0,5.0,10.8,0.0,0.0,6.0,11.0,5.0,11.0,0.0,Succeeded,72,Yes,
1046,single,0.0,1.0,Management (evening attendance),0.0,Bachelor degree,120.0,Portuguese,12th grade,9th grade,Administrative Staff,Unskilled Worker,120.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,Gave up,7,Yes,
366,single,1.0,1.0,Veterinary Nursing,1.0,12th grade,133.1,Portuguese,4th grade,6th grade,Engineer,Private Security,106.0,1.0,0.0,0.0,1.0,0.0,1.0,21.0,0.0,0.0,,13.0,6.0,16.153846153846153,0.0,0.0,6.0,10.0,6.0,15.75,0.0,Succeeded,83,Yes,
3303,single,2.0,,Nursing,1.0,12th grade,128.0,Portuguese,4th grade,4th grade,Unskilled Worker,Assembly Worker,124.3,1.0,,0.0,1.0,0.0,1.0,19.0,0.0,0.0,7.0,8.0,7.0,13.46875,0.0,0.0,8.0,8.0,8.0,13.31375,0.0,Succeeded,38,Yes,
3293,single,1.0,1.0,Social Service,1.0,12th grade,170.0,Portuguese,4th grade,4th grade,Student,Student,150.8,1.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,6.0,13.0,2.0,11.0,0.0,0.0,6.0,14.0,1.0,11.0,0.0,Gave up,42,Yes,
4092,single,0.0,1.0,Management (evening attendance),0.0,12th grade,140.0,Portuguese,4th grade,6th grade,Unskilled Worker,Assembly Worker,135.5,0.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,5.0,15.0,2.0,13.25,0.0,0.0,5.0,12.0,3.0,12.6,3.0,Gave up,35,Yes,
3770,single,1.0,3.0,Journalism and Communication,1.0,12th grade,131.0,Portuguese,12th grade,12th grade,Administrative Staff,Administrative Staff,127.2,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,,6.0,13.166666666666666,0.0,0.0,6.0,7.0,5.0,13.2,0.0,Gave up,45,Yes,
4026,divorced,1.0,1.0,Management (evening attendance),0.0,12th grade,140.0,Portuguese,4th grade,4th grade,Unskilled Worker,Engineer,139.0,0.0,0.0,0.0,1.0,,1.0,38.0,0.0,0.0,5.0,8.0,5.0,11.0,0.0,0.0,5.0,7.0,5.0,11.4,0.0,Holding on,74,Yes,
3459,single,2.0,1.0,Social Service,1.0,12th grade,125.0,Portuguese,Master degree,Bachelor degree,Politician/CEO,Politician/CEO,119.8,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,9.0,5.0,11.571428571428571,0.0,0.0,6.0,8.0,6.0,12.142857142857142,0.0,Succeeded,21,Yes,
4002,single,0.0,1.0,Informatics Engineering,1.0,12th grade,140.0,Portuguese,Bachelor degree,Bachelor degree,Superior-level Professional,Scientist,133.6,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Gave up,13,Yes,
2088,single,2.0,1.0,Equinculture,1.0,12th grade,157.0,Portuguese,Bachelor degree,Bachelor degree,Superior-level Professional,Engineer,150.9,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,8.0,6.0,15.0,0.0,0.0,6.0,8.0,5.0,15.166666666666666,0.0,Gave up,87,Yes,
1606,single,0.0,1.0,Agronomy,1.0,Post-Graduation,130.0,Portuguese,6th grade,6th grade,Unskilled Worker,Unskilled Worker,130.0,1.0,0.0,1.0,1.0,1.0,0.0,20.0,0.0,7.0,12.0,16.0,11.0,12.545454545454543,0.0,5.0,10.0,12.0,8.0,11.625,0.0,Holding on,94,Yes,
1092,single,2.0,3.0,Journalism and Communication,1.0,12th grade,127.0,Portuguese,9th grade,9th grade,Private Security,Assembly Worker,120.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,Gave up,61,Yes,
2125,single,1.0,1.0,Animation and Multimedia Design,1.0,12th grade,174.0,Portuguese,PhD,Bachelor degree,Superior-level Professional,Superior-level Professional,157.9,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Succeeded,17,Yes,
1192,single,1.0,6.0,Nursing,1.0,12th grade,139.0,Portuguese,12th grade,12th grade,Administrative Staff,Administrative Staff,124.5,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,8.0,9.0,7.0,12.04142857142857,0.0,0.0,8.0,9.0,7.0,12.04142857142857,0.0,Succeeded,29,Yes,
3821,single,0.0,1.0,Agronomy,1.0,12th grade - Technological specialization course,140.0,Portuguese,Master degree,Master degree,Administrative Staff,Scientist,120.0,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,6.0,13.0,5.0,13.0,0.0,0.0,6.0,13.0,2.0,11.5,0.0,Holding on,68,Yes,
3093,single,1.0,1.0,Social Service (evening attendance),0.0,12th grade,100.0,Portuguese,6th grade,9th grade,Engineer,Armed Forces,112.8,0.0,0.0,0.0,1.0,0.0,1.0,23.0,0.0,0.0,6.0,6.0,6.0,14.166666666666666,0.0,0.0,6.0,6.0,6.0,12.5,0.0,Succeeded,79,Yes,
3632,single,1.0,3.0,Journalism and Communication,1.0,12th grade,117.0,Portuguese,6th grade,9th grade,Engineer,Engineer,110.4,1.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,6.0,7.0,6.0,12.166666666666666,0.0,0.0,6.0,10.0,,10.333333333333334,0.0,Gave up,20,Yes,
1563,single,1.0,4.0,Management,1.0,12th grade,116.0,Portuguese,12th grade,12th grade,Superior-level Professional,Administrative Staff,113.6,1.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,5.0,6.0,3.0,14.0,0.0,0.0,5.0,8.0,5.0,12.4,0.0,Succeeded,33,Yes,
265,single,1.0,1.0,Social Service,1.0,12th grade,130.0,Portuguese,6th grade,9th grade,Unskilled Worker,Private Security,121.6,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,12.833333333333334,0.0,0.0,6.0,6.0,6.0,12.0,0.0,Succeeded,98,Yes,
895,single,0.0,1.0,Veterinary Nursing,1.0,12th grade - Technological specialization course,150.0,Portuguese,12th grade,12th grade,Administrative Staff,Engineer,150.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,11.0,18.0,45.0,18.0,11.833333333333334,10.0,9.0,13.0,27.0,13.0,12.461538461538462,5.0,Succeeded,79,Yes,
3055,single,2.0,1.0,Social Service,1.0,12th grade,127.0,Portuguese,6th grade,6th grade,Unskilled Worker,Engineer,122.8,0.0,0.0,0.0,,0.0,1.0,19.0,0.0,0.0,6.0,8.0,6.0,14.0,0.0,0.0,6.0,7.0,6.0,14.571428571428571,0.0,Succeeded,49,Yes,
4016,divorced,0.0,1.0,Management (evening attendance),0.0,12th grade,133.1,Portuguese,4th grade,4th grade,Private Security,Private Security,138.7,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,5.0,7.0,3.0,10.333333333333334,0.0,0.0,5.0,6.0,3.0,12.0,0.0,Gave up,31,Yes,
744,single,0.0,,Management (evening attendance),0.0,12th grade,150.0,Portuguese,12th grade,9th grade,Administrative Staff,Assembly Worker,123.0,0.0,0.0,0.0,1.0,1.0,0.0,27.0,0.0,0.0,5.0,8.0,4.0,11.5,0.0,0.0,5.0,9.0,3.0,10.333333333333334,0.0,Gave up,85,Yes,
3365,single,2.0,3.0,Basic Education,1.0,12th grade,132.0,Portuguese,,,Student,Student,131.3,1.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,8.0,5.0,11.8,0.0,0.0,6.0,8.0,4.0,10.5,,Gave up,64,Yes,
1394,single,2.0,1.0,Social Service,1.0,12th grade,132.0,Portuguese,12th grade,9th grade,Administrative Staff,Unskilled Worker,127.1,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,7.0,6.0,12.857142857142858,0.0,0.0,6.0,7.0,6.0,13.666666666666666,0.0,Succeeded,67,Yes,
3583,single,0.0,1.0,Management (evening attendance),0.0,12th grade,133.1,Portuguese,6th grade,4th grade,Unskilled Worker,Unskilled Worker,154.4,0.0,0.0,0.0,1.0,1.0,0.0,27.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Gave up,83,Yes,
